0,1
0,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
1,"{'S': 0, 'E': 0, 'I': 1, 'R': 0, 'D': 0}"
2,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
3,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
4,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
5,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
6,"{'S': 0, 'E': 0, 'I': 1, 'R': 0, 'D': 0}"
7,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
8,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
9,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
10,"{'S': 0, 'E': 0, 'I': 1, 'R': 0, 'D': 0}"
11,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
12,"{'S': 0, 'E': 0, 'I': 1, 'R': 0, 'D': 0}"
13,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
14,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
15,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
16,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
17,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
18,"{'S': 0, 'E': 0, 'I': 1, 'R': 0, 'D': 0}"
19,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
20,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
21,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
22,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
23,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
24,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
25,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
26,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
27,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
28,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
29,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
30,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
31,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
32,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
33,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
34,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
35,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
36,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
37,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
38,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
39,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
40,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
41,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
42,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
43,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
44,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
45,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
46,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
47,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
48,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
49,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
50,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
51,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
52,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
53,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
54,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
55,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
56,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
57,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
58,"{'S': 1, 'E': 0, 'I': 0, 'R': 0, 'D': 0}"
